date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:54	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Apr%202025%2016:32:54%20GMT	https://okkellmaks/robots.txt		(from )
18:32:54	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2009%20Apr%202025%2016:32:54%20GMT	https://okkellmaks/	C:/My%20Web%20Sites/Katlego2/okkellmaks/index.html	(from )
18:32:55	102694/102694	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2016:32:54%20GMT	https://okkellmaks/home/	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/index.html	(from https://okkellmaks/)
18:32:55	3494/3494	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/img/choose/choose-5.png	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/img/choose/choose-5.png	(from https://okkellmaks/home/)
18:32:56	285/285	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Apr%202024%2023:30:54%20GMT	https://okkellmaks/home/img/favicon.png	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/img/favicon.png	(from https://okkellmaks/home/)
18:32:56	31000/31000	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/css/font-awesome.min.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/css/font-awesome.min.css	(from https://okkellmaks/home/)
18:32:56	25252/25252	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/css/elegant-icons.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/css/elegant-icons.css	(from https://okkellmaks/home/)
18:32:57	4007/4007	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/css/nice-select.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/css/nice-select.css	(from https://okkellmaks/home/)
18:32:57	6951/6951	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/css/magnific-popup.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/css/magnific-popup.css	(from https://okkellmaks/home/)
18:32:57	32076/32076	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/css/jquery-ui.min.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/css/jquery-ui.min.css	(from https://okkellmaks/home/)
18:32:58	3351/3351	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2013:25:12%20GMT	https://okkellmaks/home/css/owl.carousel.min.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/css/owl.carousel.min.css	(from https://okkellmaks/home/)
18:32:58	57540/57540	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202024%2015:43:04%20GMT	https://okkellmaks/home/css/style.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/css/style.css	(from https://okkellmaks/home/)
18:32:59	53585/53585	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202024%2015:43:04%20GMT	https://okkellmaks/home/pluinstyle.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/pluinstyle.css	(from https://okkellmaks/home/)
18:32:59	646437/646437	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202024%2015:43:04%20GMT	https://okkellmaks/home/plugins.css	C:/My%20Web%20Sites/Katlego2/okkellmaks/home/plugins.css	(from https://okkellmaks/home/)
18:32:59	103009/103009	---M-Z	200	added ('OK')	text/css	etag:%22660cc074-5556%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	C:/My%20Web%20Sites/Katlego2/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.2/css/all.min.css	(from https://okkellmaks/home/)
